transaction_id,quarter_date,region_id,firm_id,baseline_units,unit_cost,baseline_price,baseline_revenue,baseline_profit,max_allowed_price,policy_price,pct_change_price,pct_change_units,policy_units,policy_revenue,policy_profit,pct_change_profit
39,2024-Q2,West,Firm D,398,9.72,13.02,5181.96,1313.3999999999996,12.15,12.15,-0.0668202764976958,0.05011520737327185,417.94585253456216,5078.042108294931,1015.6084216589859,-0.22673334729786343
40,2024-Q2,West,Firm E,537,11.29,14.22,7636.14,1573.4100000000008,14.112499999999999,14.112499999999999,-0.007559774964838376,0.005669831223628782,540.0446993670886,7621.380819818037,1524.2761639636074,-0.03122761138952554
41,2024-Q3,North,Firm A,50,12.67,16.55,827.5,194.00000000000003,15.8375,15.8375,-0.04305135951661633,0.03228851963746225,51.61442598187311,817.4434714879154,163.4886942975831,-0.15727477166194292
42,2024-Q3,North,Firm B,150,11.75,14.62,2193.0,430.4999999999999,14.6875,14.62,0.0,0.0,150.0,2193.0,430.4999999999999,0.0
43,2024-Q3,North,Firm C,274,10.96,13.84,3792.16,789.1199999999998,13.700000000000001,13.700000000000001,-0.010115606936416098,0.007586705202312074,276.0787572254335,3782.2789739884392,756.4557947976879,-0.041393204078355526
44,2024-Q3,North,Firm D,346,12.58,15.64,5411.4400000000005,1058.7600000000002,15.725,15.64,0.0,0.0,346.0,5411.4400000000005,1058.7600000000002,0.0
45,2024-Q3,North,Firm E,577,11.57,14.89,8591.53,1915.64,14.4625,14.4625,-0.028710543989254548,0.021532907991940912,589.4244879113498,8524.551656417898,1704.9103312835794,-0.11000483844376853
46,2024-Q3,South,Firm A,140,11.22,13.8,1932.0,361.2,14.025,13.8,0.0,0.0,140.0,1932.0,361.2,0.0
47,2024-Q3,South,Firm B,265,10.92,13.63,3611.9500000000003,718.1500000000002,13.65,13.63,0.0,0.0,265.0,3611.9500000000003,718.1500000000002,0.0
48,2024-Q3,South,Firm C,312,12.83,15.54,4848.48,845.5199999999998,16.0375,15.54,0.0,0.0,312.0,4848.48,845.5199999999998,0.0
49,2024-Q3,South,Firm D,333,12.62,16.3,5427.900000000001,1225.4400000000005,15.774999999999999,15.774999999999999,-0.03220858895705534,0.024156441717791508,341.0440950920246,5379.970600076687,1075.9941200153373,-0.12195283325553526
50,2024-Q3,South,Firm E,512,12.48,15.88,8130.56,1740.8000000000002,15.600000000000001,15.600000000000001,-0.017632241813601974,0.013224181360201481,518.7707808564231,8092.824181360202,1618.5648362720408,-0.07021781004593254
51,2024-Q3,East,Firm A,111,12.44,14.81,1643.91,263.0700000000001,15.549999999999999,14.81,0.0,0.0,111.0,1643.91,263.0700000000001,0.0
52,2024-Q3,East,Firm B,293,12.58,15.0,4395.0,709.06,15.725,15.0,0.0,0.0,293.0,4395.0,709.06,0.0
53,2024-Q3,East,Firm C,332,11.42,14.78,4906.96,1115.5199999999998,14.275,14.275,-0.034167794316644046,0.025625845737483034,340.50778078484433,4860.748570703653,972.1497141407307,-0.1285232769105611
54,2024-Q3,East,Firm D,457,11.54,15.26,6973.82,1700.0400000000002,14.424999999999999,14.424999999999999,-0.05471821756225432,0.04103866317169074,475.7546690694627,6862.761101326999,1372.5522202653997,-0.19263533783593356
55,2024-Q3,East,Firm E,520,12.86,17.67,9188.400000000001,2501.200000000001,16.075,16.075,-0.09026598754951909,0.06769949066213932,555.2037351443124,8924.900042444822,1784.9800084889644,-0.2863505483412108
56,2024-Q3,West,Firm A,87,11.6,13.71,1192.77,183.5700000000001,14.5,13.71,0.0,0.0,87.0,1192.77,183.5700000000001,0.0
57,2024-Q3,West,Firm B,159,12.14,15.22,2419.98,489.72,15.175,15.175,-0.002956636005256237,0.002217477003942178,159.35257884362682,2418.175383952037,483.6350767904074,-0.012425310809427024
58,2024-Q3,West,Firm C,313,12.86,16.21,5073.7300000000005,1048.5500000000004,16.075,16.075,-0.008328192473781712,0.006246144355336283,314.95504318322025,5062.902319170265,1012.580463834053,-0.034304073402267286
59,2024-Q3,West,Firm D,472,11.99,16.71,7887.120000000001,2227.84,14.9875,14.9875,-0.103081986834231,0.07731149012567326,508.4910233393178,7621.009212298026,1524.2018424596054,-0.3158387305822657
60,2024-Q3,West,Firm E,531,11.52,14.43,7662.33,1545.21,14.399999999999999,14.399999999999999,-0.0020790020790021576,0.0015592515592516183,531.8279625779626,7658.32266112266,1531.6645322245317,-0.00876610154960704
61,2024-Q4,North,Firm A,88,13.06,16.17,1422.96,273.6800000000001,16.325,16.17,0.0,0.0,88.0,1422.96,273.6800000000001,0.0
62,2024-Q4,North,Firm B,196,11.81,13.89,2722.44,407.68,14.762500000000001,13.89,0.0,0.0,196.0,2722.44,407.68,0.0
63,2024-Q4,North,Firm C,277,13.18,16.71,4628.67,977.8100000000003,16.475,16.475,-0.014063435068821031,0.010547576301615774,279.9216786355476,4611.709655520647,922.3419311041298,-0.05672683741817988
64,2024-Q4,North,Firm D,337,12.63,16.36,5513.32,1257.0099999999995,15.787500000000001,15.787500000000001,-0.03499388753056223,0.02624541564792167,345.84470507334964,5460.023281345508,1092.0046562691018,-0.13126812334897717
65,2024-Q4,North,Firm E,455,12.61,16.43,7475.65,1738.1000000000001,15.7625,15.7625,-0.040626902008521024,0.030470176506390768,468.86393031040785,7390.467701517803,1478.0935403035608,-0.14959234779151911
66,2024-Q4,South,Firm A,50,12.78,15.87,793.5,154.5,15.975,15.87,0.0,0.0,50.0,793.5,154.5,0.0
67,2024-Q4,South,Firm B,254,13.33,15.85,4025.9,640.0799999999999,16.6625,15.85,0.0,0.0,254.0,4025.9,640.0799999999999,0.0
68,2024-Q4,South,Firm C,253,12.9,16.52,4179.5599999999995,915.8599999999998,16.125,16.125,-0.023910411622276005,0.017932808716707004,257.53700060532685,4152.7841347608955,830.556826952179,-0.09313997013497785
69,2024-Q4,South,Firm D,425,15.57,20.22,8593.5,1976.2499999999993,19.4625,19.4625,-0.03746290801186945,0.02809718100890209,436.9413019287834,8503.970088788947,1700.7940177577887,-0.1393831662199675
70,2024-Q4,South,Firm E,556,13.25,17.56,9763.359999999999,2396.359999999999,16.5625,16.5625,-0.05680523917995437,0.04260392938496578,579.687784738041,9601.078934723804,1920.215786944761,-0.1986947758497214
71,2024-Q4,East,Firm A,84,13.1,15.59,1309.56,209.16000000000003,16.375,15.59,0.0,0.0,84.0,1309.56,209.16000000000003,0.0
72,2024-Q4,East,Firm B,188,12.1,15.05,2829.4,554.6000000000003,15.125,15.05,0.0,0.0,188.0,2829.4,554.6000000000003,0.0
73,2024-Q4,East,Firm C,415,11.0,14.2,5893.0,1327.9999999999998,13.75,13.75,-0.03169014084507037,0.02376760563380278,424.86355633802816,5841.873899647887,1168.3747799295775,-0.12019971390845055
74,2024-Q4,East,Firm D,319,12.11,16.05,5119.95,1256.8600000000004,15.1375,15.1375,-0.05685358255451722,0.04264018691588791,332.6022196261682,5034.766099591121,1006.9532199182242,-0.1988342218558758
75,2024-Q4,East,Firm E,503,11.63,14.76,7424.28,1574.3899999999994,14.537500000000001,14.537500000000001,-0.015074525745257342,0.011305894308943007,508.68686483739833,7395.035297573679,1479.007059514736,-0.06058406143666017
76,2024-Q4,West,Firm A,133,11.91,14.63,1945.7900000000002,361.7600000000001,14.8875,14.63,0.0,0.0,133.0,1945.7900000000002,361.7600000000001,0.0
77,2024-Q4,West,Firm B,202,11.97,15.91,3213.82,795.8799999999999,14.9625,14.9625,-0.05955373978629791,0.04466530483972343,211.02239157762412,3157.422533980201,631.4845067960401,-0.20655814093074304
78,2024-Q4,West,Firm C,331,10.87,13.79,4564.49,966.52,13.587499999999999,13.587499999999999,-0.014684554024655589,0.011013415518491693,334.64544053662075,4546.994923291334,909.3989846582667,-0.05909967237277372
79,2024-Q4,West,Firm D,366,13.17,16.47,6028.0199999999995,1207.7999999999995,16.4625,16.4625,-0.0004553734061930956,0.0003415300546448217,366.125,6027.3328125,1205.4665624999996,-0.0019319734227520669
80,2024-Q4,West,Firm E,494,12.9,17.2,8496.8,2124.1999999999994,16.125,16.125,-0.06249999999999996,0.04687499999999997,517.15625,8339.14453125,1667.8289062499998,-0.21484374999999986
81,2025-Q1,North,Firm A,83,12.02,14.34,1190.22,192.56000000000003,15.024999999999999,14.34,0.0,0.0,83.0,1190.22,192.56000000000003,0.0
82,2025-Q1,North,Firm B,288,12.72,15.15,4363.2,699.8399999999999,15.9,15.15,0.0,0.0,288.0,4363.2,699.8399999999999,0.0
83,2025-Q1,North,Firm C,345,14.1,18.28,6306.6,1442.1000000000006,17.625,17.625,-0.035831509846827196,0.026873632385120395,354.27140317286654,6244.033480921773,1248.8066961843547,-0.13403599182833772
84,2025-Q1,North,Firm D,324,12.01,16.01,5187.240000000001,1296.0000000000007,15.0125,15.0125,-0.062304809494066346,0.046728607120549756,339.1400687070581,5091.34028146471,1018.2680562929418,-0.21429933928013795
85,2025-Q1,North,Firm E,464,12.75,16.97,7874.08,1958.0799999999995,15.9375,15.9375,-0.06084266352386558,0.045631997642899186,485.1732469063052,7732.44862256924,1546.489724513848,-0.21020094964769143
86,2025-Q1,South,Firm A,53,12.35,13.45,712.8499999999999,58.29999999999998,15.4375,13.45,0.0,0.0,53.0,712.8499999999999,58.29999999999998,0.0
87,2025-Q1,South,Firm B,148,12.2,14.5,2146.0,340.4000000000001,15.25,14.5,0.0,0.0,148.0,2146.0,340.4000000000001,0.0
88,2025-Q1,South,Firm C,381,11.26,13.96,5318.76,1028.7000000000005,14.075,13.96,0.0,0.0,381.0,5318.76,1028.7000000000005,0.0
89,2025-Q1,South,Firm D,406,13.55,16.63,6751.78,1250.4799999999993,16.9375,16.63,0.0,0.0,406.0,6751.78,1250.4799999999993,0.0
90,2025-Q1,South,Firm E,558,12.41,15.64,8727.12,1802.3400000000001,15.5125,15.5125,-0.00815217391304356,0.00611413043478267,561.4116847826087,8708.898760190217,1741.7797520380432,-0.03360090102974853
91,2025-Q1,East,Firm A,123,12.56,15.02,1847.46,302.57999999999987,15.700000000000001,15.02,0.0,0.0,123.0,1847.46,302.57999999999987,0.0
92,2025-Q1,East,Firm B,203,12.09,15.05,3055.15,600.8800000000002,15.1125,15.05,0.0,0.0,203.0,3055.15,600.8800000000002,0.0
93,2025-Q1,East,Firm C,333,13.67,16.6,5527.8,975.6900000000005,17.0875,16.6,0.0,0.0,333.0,5527.8,975.6900000000005,0.0
94,2025-Q1,East,Firm D,506,10.84,13.8,6982.8,1497.7600000000004,13.55,13.55,-0.018115942028985508,0.013586956521739132,512.875,6949.45625,1389.8912500000004,-0.07202004994124564
95,2025-Q1,East,Firm E,529,12.62,16.1,8516.900000000001,1840.9200000000012,15.774999999999999,15.774999999999999,-0.02018633540372688,0.01513975155279516,537.0089285714287,8471.315848214286,1694.263169642857,-0.07966496662383159
96,2025-Q1,West,Firm A,89,12.01,14.35,1277.1499999999999,208.26,15.0125,14.35,0.0,0.0,89.0,1277.1499999999999,208.26,0.0
97,2025-Q1,West,Firm B,242,12.69,15.38,3721.96,650.9800000000004,15.862499999999999,15.38,0.0,0.0,242.0,3721.96,650.9800000000004,0.0
98,2025-Q1,West,Firm C,344,12.65,16.34,5620.96,1269.36,15.8125,15.8125,-0.032282741738066084,0.024212056303549563,352.32894736842104,5571.2014802631575,1114.2402960526315,-0.1222030818265649
99,2025-Q1,West,Firm D,431,11.74,14.74,6352.9400000000005,1293.0,14.675,14.675,-0.0044097693351424355,0.0033073270013568266,432.4254579375848,6345.843595234057,1269.1687190468115,-0.01843099841700582
100,2025-Q1,West,Firm E,537,12.89,16.74,8989.38,2067.449999999999,16.1125,16.1125,-0.03748506571087203,0.028113799283154023,552.0971102150537,8895.664688340054,1779.1329376680105,-0.13945539787273623
101,2025-Q2,North,Firm A,163,13.34,16.54,2696.02,521.5999999999999,16.675,16.54,0.0,0.0,163.0,2696.02,521.5999999999999,0.0
102,2025-Q2,North,Firm B,189,13.63,17.46,3299.94,723.87,17.0375,17.0375,-0.02419816723940432,0.01814862542955324,192.43009020618558,3278.527661887887,655.7055323775775,-0.09416672554798863
103,2025-Q2,North,Firm C,341,14.46,18.87,6434.67,1503.81,18.075000000000003,18.075000000000003,-0.042130365659777326,0.031597774244832996,351.77484101748803,6358.330251391097,1271.66605027822,-0.15437053199658204
104,2025-Q2,North,Firm D,401,14.35,18.22,7306.219999999999,1551.8699999999997,17.9375,17.9375,-0.015504939626783693,0.01162870472008777,405.66311059275523,7276.582046257547,1455.3164092515096,-0.06221757669681742
105,2025-Q2,North,Firm E,516,13.7,17.86,9215.76,2146.56,17.125,17.125,-0.0411534154535274,0.03086506159014555,531.9263717805151,9109.23911674132,1821.8478233482645,-0.15127095289753628
106,2025-Q2,South,Firm A,129,13.15,17.09,2204.61,508.25999999999993,16.4375,16.4375,-0.03818022235225277,0.028635166764189576,132.69393651258045,2181.156581425541,436.23131628510816,-0.14171621554891548
107,2025-Q2,South,Firm B,149,12.84,16.5,2458.5,545.34,16.05,16.05,-0.02727272727272723,0.020454545454545423,152.0477272727273,2440.366022727273,488.0732045454547,-0.10501117734724269
108,2025-Q2,South,Firm C,339,14.31,18.34,6217.26,1366.1699999999998,17.8875,17.8875,-0.024672846237731767,0.018504634678298826,345.27307115594334,6176.072060301936,1235.2144120603868,-0.09585599737925223
109,2025-Q2,South,Firm D,399,13.09,16.79,6699.21,1476.2999999999997,16.3625,16.3625,-0.025461584276354882,0.019096188207266163,406.61937909469924,6653.309590437017,1330.6619180874036,-0.09865073624100533
110,2025-Q2,South,Firm E,466,14.59,18.89,8802.74,2003.8000000000004,18.2375,18.2375,-0.03454208575966119,0.02590656431974589,478.0724589730016,8718.846470520117,1743.7692941040236,-0.1297687922427272
111,2025-Q2,East,Firm A,58,13.55,16.74,970.92,185.01999999999987,16.9375,16.74,0.0,0.0,58.0,970.92,185.01999999999987,0.0
112,2025-Q2,East,Firm B,171,13.15,16.43,2809.5299999999997,560.8799999999999,16.4375,16.43,0.0,0.0,171.0,2809.5299999999997,560.8799999999999,0.0
113,2025-Q2,East,Firm C,312,13.4,16.65,5194.799999999999,1013.9999999999994,16.75,16.65,0.0,0.0,312.0,5194.799999999999,1013.9999999999994,0.0
114,2025-Q2,East,Firm D,411,12.65,15.49,6366.39,1167.24,15.8125,15.49,0.0,0.0,411.0,6366.39,1167.24,0.0
115,2025-Q2,East,Firm E,464,13.64,17.88,8296.32,1967.3599999999992,17.05,17.05,-0.046420581655480894,0.03481543624161067,480.15436241610735,8186.6318791946305,1637.3263758389262,-0.16775456660757215
116,2025-Q2,West,Firm A,173,14.49,17.6,3044.8,538.0300000000002,18.1125,17.6,0.0,0.0,173.0,3044.8,538.0300000000002,0.0
117,2025-Q2,West,Firm B,199,13.01,16.12,3207.88,618.8900000000002,16.2625,16.12,0.0,0.0,199.0,3207.88,618.8900000000002,0.0
118,2025-Q2,West,Firm C,285,14.07,17.31,4933.349999999999,923.3999999999995,17.5875,17.31,0.0,0.0,285.0,4933.349999999999,923.3999999999995,0.0
119,2025-Q2,West,Firm D,425,15.03,19.19,8155.750000000001,1768.000000000001,18.787499999999998,18.787499999999998,-0.020974465867639572,0.01573084940072968,431.6856109953101,8110.293416574388,1622.0586833148773,-0.08254599360018301
120,2025-Q2,West,Firm E,520,14.36,18.47,9604.4,2137.2,17.95,17.95,-0.028153762858689747,0.02111532214401731,530.9799675148889,9531.090416892255,1906.2180833784512,-0.10807688406398495
121,2025-Q3,North,Firm A,100,14.69,17.54,1754.0,284.99999999999994,18.3625,17.54,0.0,0.0,100.0,1754.0,284.99999999999994,0.0
122,2025-Q3,North,Firm B,201,15.01,19.34,3887.34,870.33,18.7625,18.7625,-0.02986039296794212,0.02239529472595659,205.5014542399173,3855.7210351764484,771.1442070352896,-0.11396343107178938
123,2025-Q3,North,Firm C,347,16.33,20.2,7009.4,1342.8900000000003,20.412499999999998,20.2,0.0,0.0,347.0,7009.4,1342.8900000000003,0.0
124,2025-Q3,North,Firm D,443,14.76,19.99,8855.57,2316.8899999999994,18.45,18.45,-0.07703851925962978,0.05777888944472233,468.596048024012,8645.59708604302,1729.119417208604,-0.25368946423498545
125,2025-Q3,North,Firm E,459,13.94,17.82,8179.38,1780.9200000000003,17.425,17.425,-0.022166105499438808,0.016624579124579104,466.6306818181818,8131.039630681818,1626.2079261363642,-0.08687199529660852
126,2025-Q3,South,Firm A,50,14.19,16.93,846.5,137.0,17.7375,16.93,0.0,0.0,50.0,846.5,137.0,0.0
127,2025-Q3,South,Firm B,207,14.89,19.4,4015.7999999999997,933.5699999999996,18.6125,18.6125,-0.04059278350515453,0.0304445876288659,213.30202963917526,3970.0840266591495,794.0168053318299,-0.14948337528859082
128,2025-Q3,South,Firm C,347,14.15,17.38,6030.86,1120.8099999999995,17.6875,17.38,0.0,0.0,347.0,6030.86,1120.8099999999995,0.0
129,2025-Q3,South,Firm D,424,13.56,18.27,7746.48,1997.0399999999995,16.95,16.95,-0.07224958949096882,0.05418719211822662,446.9753694581281,7576.232512315271,1515.2465024630537,-0.24125380439898345
130,2025-Q3,South,Firm E,558,14.24,17.65,9848.699999999999,1902.779999999999,17.8,17.65,0.0,0.0,558.0,9848.699999999999,1902.779999999999,0.0
131,2025-Q3,East,Firm A,167,14.52,18.33,3061.1099999999997,636.2699999999998,18.15,18.15,-0.009819967266775764,0.007364975450081823,168.22995090016366,3053.37360883797,610.674721767594,-0.04022707063417388
132,2025-Q3,East,Firm B,120,14.13,17.53,2103.6000000000004,408.00000000000006,17.6625,17.53,0.0,0.0,120.0,2103.6000000000004,408.00000000000006,0.0
133,2025-Q3,East,Firm C,302,14.25,18.27,5517.54,1214.04,17.8125,17.8125,-0.025041050903119845,0.018780788177339885,307.6717980295566,5480.403902401477,1096.0807804802955,-0.09716254779060364
134,2025-Q3,East,Firm D,346,14.5,18.62,6442.52,1425.5200000000004,18.125,18.125,-0.026584317937701447,0.019938238453276087,352.8986305048335,6396.287677900107,1279.2575355800213,-0.10260288485603783
135,2025-Q3,East,Firm E,525,15.18,19.17,10064.25,2094.750000000001,18.975,18.975,-0.01017214397496089,0.007629107981220667,529.0052816901409,10037.875220070424,2007.5750440140857,-0.04161592361184635
136,2025-Q3,West,Firm A,50,15.63,19.24,961.9999999999999,180.4999999999999,19.5375,19.24,0.0,0.0,50.0,961.9999999999999,180.4999999999999,0.0
137,2025-Q3,West,Firm B,162,15.85,19.72,3194.64,626.9399999999998,19.8125,19.72,0.0,0.0,162.0,3194.64,626.9399999999998,0.0
138,2025-Q3,West,Firm C,358,14.67,19.51,6984.580000000001,1732.7200000000005,18.3375,18.3375,-0.060097385955920186,0.04507303946694014,374.13614812916455,6860.721616318555,1372.1443232637105,-0.20809806358574376
139,2025-Q3,West,Firm D,487,14.41,18.93,9218.91,2201.24,18.0125,18.0125,-0.04846804014791339,0.03635103011093504,504.7029516640254,9090.961916848257,1818.1923833696512,-0.17401447212950363
140,2025-Q3,West,Firm E,532,15.71,19.94,10608.08,2250.36,19.637500000000003,19.637500000000003,-0.015170511534603732,0.011377883650952799,538.0530341023069,10566.016457184054,2113.2032914368115,-0.06094878533354159
141,2025-Q4,North,Firm A,152,14.19,16.72,2541.4399999999996,384.5599999999999,17.7375,16.72,0.0,0.0,152.0,2541.4399999999996,384.5599999999999,0.0
142,2025-Q4,North,Firm B,98,15.38,19.43,1904.1399999999999,396.8999999999999,19.225,19.225,-0.010550694801852717,0.007913021101389538,98.77547606793618,1898.9585274060732,379.7917054812147,-0.04310479848522353
143,2025-Q4,North,Firm C,375,15.65,20.54,7702.5,1833.7499999999995,19.5625,19.5625,-0.04759006815968837,0.03569255111976628,388.38470666991236,7597.775824230161,1519.555164846032,-0.17134006007032995
144,2025-Q4,North,Firm D,330,14.23,18.19,6002.700000000001,1306.8000000000002,17.7875,17.7875,-0.022127542605827367,0.016595656954370527,335.4765667949423,5967.289431865037,1193.4578863730076,-0.08673256322849143
145,2025-Q4,North,Firm E,519,15.57,19.2,9964.8,1883.9699999999996,19.4625,19.2,0.0,0.0,519.0,9964.8,1883.9699999999996,0.0
146,2025-Q4,South,Firm A,95,14.55,18.09,1718.55,336.2999999999999,18.1875,18.09,0.0,0.0,95.0,1718.55,336.2999999999999,0.0
147,2025-Q4,South,Firm B,218,14.84,18.15,3956.7,721.5799999999997,18.55,18.15,0.0,0.0,218.0,3956.7,721.5799999999997,0.0
